pixel,true_gps_lat,true_gps_lon,true_attitude_roll,true_attitude_pitch,true_attitude_yaw,estimated_gps_lat,estimated_gps_lon,timestamp
"(321, 243)",40.9588853,29.1357978,10.002,-0.24164062025167962,-0.12665115724291506,91.29271142755147,40.958886995845816,29.135797534502593,1756989266.3224254
"(321, 243)",40.9588853,29.1357978,10.002,0.08387378252272439,-0.13972844820319041,91.29295731436159,40.95888648492315,29.135797546457496,1756989266.4312568
"(321, 242)",40.9588853,29.1357978,10.002,0.08387378252272439,-0.13972844820319041,91.29295731436159,40.95888604776469,29.135797533387944,1756989266.6461601
"(321, 242)",40.9588853,29.1357978,10.002,-0.10755412174633132,-0.13730387779018133,91.2909697293131,40.95888634798627,29.13579753725749,1756989266.7512739
"(321, 243)",40.9588853,29.1357978,10.002,-0.24877459275719926,-0.1426083334337028,91.2905394273954,40.95888700646179,29.135797567877514,1756989266.8680365
"(321, 243)",40.9588853,29.1357978,10.002,-0.24877459275719926,-0.1426083334337028,91.2905394273954,40.95888700646179,29.135797567877514,1756989267.106456
"(321, 242)",40.9588853,29.1357978,10.002,0.041467279070337454,-0.12978688108261205,91.29129074820409,40.958886114598656,29.135797514700975,1756989267.2325113
"(321, 242)",40.9588853,29.1357978,10.002,0.041467279070337454,-0.12978688108261205,91.29129074820409,40.958886114598656,29.135797514700975,1756989267.3373063
"(321, 242)",40.9588853,29.1357978,10.002,0.041467279070337454,-0.12978688108261205,91.29129074820409,40.958886114598656,29.135797514700975,1756989267.4399338
"(321, 242)",40.9588853,29.1357978,10.002,0.0010568487939688267,-0.1217153717320156,91.28713116299956,40.95888617822716,29.135797499747166,1756989267.5464337
"(321, 242)",40.9588853,29.1357978,10.002,0.0010568487939688267,-0.1217153717320156,91.28713116299956,40.95888617822716,29.135797499747166,1756989267.651667
"(321, 243)",40.9588853,29.1357978,10.002,-0.26950944625177126,-0.12615507473380322,91.28891384237293,40.95888703955765,29.135797534620707,1756989267.7614834
"(321, 243)",40.9588853,29.1357978,10.002,-0.26950944625177126,-0.12615507473380322,91.28891384237293,40.95888703955765,29.135797534620707,1756989267.8773046
"(321, 242)",40.9588853,29.1357978,10.002,-0.03999221167366593,-0.11279236991162864,91.28620225727244,40.958886242899744,29.13579748311314,1756989268.0872028
"(321, 242)",40.9588853,29.1357978,10.002,-0.03999221167366593,-0.11279236991162864,91.28620225727244,40.958886242899744,29.13579748311314,1756989268.2021585
"(321, 243)",40.9588853,29.1357978,10.002,0.0531601026920431,-0.11498766207997949,91.29239723884965,40.95888653395806,29.135797496514016,1756989268.313021
"(321, 242)",40.9588853,29.1357978,10.002,0.0531601026920431,-0.11498766207997949,91.29239723884965,40.95888609679383,29.135797483451462,1756989268.418945
"(321, 243)",40.9588853,29.1357978,10.002,0.0531601026920431,-0.11498766207997949,91.29239723884965,40.95888653395806,29.135797496514016,1756989268.52259
"(321, 243)",40.9588853,29.1357978,10.002,-0.2570544895785472,-0.11601085643415913,91.29297097473992,40.958887020398045,29.135797513142677,1756989268.6365712
"(321, 243)",40.9588853,29.1357978,10.002,-0.2570544895785472,-0.11601085643415913,91.29297097473992,40.958887020398045,29.135797513142677,1756989268.7437153
"(321, 242)",40.9588853,29.1357978,10.002,-0.09878045027275904,-0.10891862545581325,91.28035561534291,40.958886335188616,29.13579747766521,1756989268.8567755
"(321, 243)",40.9588853,29.1357978,10.002,-0.09878045027275904,-0.10891862545581325,91.28035561534291,40.9588867723843,29.135797490599497,1756989268.9725044
"(321, 242)",40.9588853,29.1357978,10.001,0.082239639753479,-0.11817259796625494,91.28308086082174,40.95888605097468,29.135797488573388,1756989269.0834422
"(321, 243)",40.9588853,29.1357978,10.001,0.082239639753479,-0.11817259796625494,91.28308086082174,40.958886488091814,29.1357975015418,1756989269.3106515
"(321, 243)",40.9588853,29.1357978,10.001,-0.21181028931996462,-0.1179894768593472,91.28604516292152,40.95888694918006,29.13579751490269,1756989269.4216146
"(321, 243)",40.9588853,29.1357978,10.001,-0.21181028931996462,-0.1179894768593472,91.28604516292152,40.95888694918006,29.13579751490269,1756989269.5336792
"(321, 243)",40.9588853,29.1357978,10.001,-0.16770174141302885,-0.11125340289362047,91.28618859689409,40.9588868802511,29.13579749887679,1756989269.6586242
"(321, 243)",40.9588853,29.1357978,10.001,-0.16770174141302885,-0.11125340289362047,91.28618859689409,40.9588868802511,29.13579749887679,1756989269.8795047
"(321, 242)",40.9588853,29.1357978,10.001,0.09487739736849343,-0.11226180295133616,91.28534165343702,40.958886031379706,29.135797475755187,1756989269.9821382
"(321, 242)",40.9588853,29.1357978,10.001,0.09487739736849343,-0.11226180295133616,91.28534165343702,40.958886031379706,29.135797475755187,1756989270.0871356
"(321, 243)",40.9588853,29.1357978,10.001,0.09487739736849343,-0.11226180295133616,91.28534165343702,40.958886468494526,29.135797488747,1756989270.1893008
"(321, 242)",40.9588853,29.1357978,10.0,-0.14071383639309698,-0.11645024303707459,91.2832721061185,40.95888640046694,29.135797495377265,1756989270.3007488
"(321, 243)",40.9588853,29.1357978,10.0,-0.14071383639309698,-0.11645024303707459,91.2832721061185,40.95888683758369,29.13579750833663,1756989270.5103736
"(321, 242)",40.9588853,29.1357978,10.0,-0.2144172471281542,-0.12167735212433096,91.28834010648265,40.95888651584813,29.135797509787107,1756989270.623141
"(321, 242)",40.9588853,29.1357978,10.0,0.10716206621992994,-0.11808880808700328,91.28708335167536,40.958886011851774,29.135797487339808,1756989270.7373235
"(321, 242)",40.9588853,29.1357978,10.0,0.10716206621992994,-0.11808880808700328,91.28708335167536,40.958886011851774,29.135797487339808,1756989270.8505597
"(321, 242)",40.9588853,29.1357978,10.0,0.10716206621992994,-0.11808880808700328,91.28708335167536,40.958886011851774,29.135797487339808,1756989270.9573908
"(321, 242)",40.9588853,29.1357978,10.0,0.10716206621992994,-0.11808880808700328,91.28708335167536,40.958886011851774,29.135797487339808,1756989271.0678144
"(321, 242)",40.9588853,29.1357978,10.001,-0.05928346066445209,-0.11581854392034097,91.2826573890932,40.958886272928844,29.135797490244084,1756989271.169745
"(321, 243)",40.9588853,29.1357978,10.001,-0.20696884579697594,-0.12249918930012746,91.28970614431665,40.958886941442294,29.135797524178187,1756989271.2806835
"(321, 242)",40.9588853,29.1357978,10.001,-0.20696884579697594,-0.12249918930012746,91.28970614431665,40.95888650426764,29.135797511155328,1756989271.3861964
"(321, 242)",40.9588853,29.1357978,10.001,-0.20696884579697594,-0.12249918930012746,91.28970614431665,40.95888650426764,29.135797511155328,1756989271.512444
"(321, 242)",40.9588853,29.1357978,10.001,0.07716623660297435,-0.11734449089024379,91.28107278520577,40.95888605894916,29.135797487054617,1756989271.6138885
"(321, 242)",40.9588853,29.1357978,10.001,0.07716623660297435,-0.11734449089024379,91.28107278520577,40.95888605894916,29.135797487054617,1756989271.821342
"(321, 242)",40.9588853,29.1357978,10.001,0.031891854111975426,-0.11591603419857231,91.28701504978368,40.95888613000192,29.13579748630117,1756989271.9370284
"(321, 242)",40.9588853,29.1357978,10.001,0.031891854111975426,-0.11591603419857231,91.28701504978368,40.95888613000192,29.13579748630117,1756989272.0509377
"(321, 242)",40.9588853,29.1357978,10.001,-0.24661531916454965,-0.10634180985940034,91.28424199298064,40.958886566977476,29.135797479302997,1756989272.1701632
"(321, 242)",40.9588853,29.1357978,10.001,-0.24661531916454965,-0.10634180985940034,91.28424199298064,40.958886566977476,29.135797479302997,1756989272.3752475
"(321, 242)",40.9588853,29.1357978,10.001,0.06680899510848387,-0.11392464718933014,91.28548508740958,40.95888607532505,29.135797480514572,1756989272.4877155
"(321, 242)",40.9588853,29.1357978,10.001,0.06680899510848387,-0.11392464718933014,91.28548508740958,40.95888607532505,29.135797480514572,1756989272.5959241
"(321, 242)",40.9588853,29.1357978,10.001,0.05228237669295018,-0.11378389459961763,91.28246614379644,40.958886098091064,29.13579748084214,1756989272.702024
"(321, 242)",40.9588853,29.1357978,10.001,0.05228237669295018,-0.11378389459961763,91.28246614379644,40.958886098091064,29.13579748084214,1756989272.904067
"(321, 242)",40.9588853,29.1357978,10.001,-0.22372299300611312,-0.10779311166621565,91.28208365320292,40.9588865310242,29.13579748119195,1756989273.0170023
"(321, 242)",40.9588853,29.1357978,10.001,-0.22372299300611312,-0.10779311166621565,91.28208365320292,40.9588865310242,29.13579748119195,1756989273.1153805
"(321, 242)",40.9588853,29.1357978,10.001,-0.02372129701325387,-0.1094945157905298,91.28979493677586,40.95888621742795,29.135797475618478,1756989273.3851602
"(321, 242)",40.9588853,29.1357978,10.001,-0.02372129701325387,-0.1094945157905298,91.28979493677586,40.95888621742795,29.135797475618478,1756989273.4907784
"(321, 242)",40.9588854,29.1357978,10.001,0.10899653230103372,-0.10825601039493607,91.28678282335188,40.95888610939241,29.13579746680693,1756989273.6043475
"(321, 242)",40.9588854,29.1357978,10.001,0.10899653230103372,-0.10825601039493607,91.28678282335188,40.95888610939241,29.13579746680693,1756989273.7201126
"(321, 243)",40.9588854,29.1357978,10.001,-0.1974578740787993,-0.11223322821461318,91.27436553944081,40.958887026830844,29.135797501848117,1756989273.824685
"(321, 243)",40.9588854,29.1357978,10.001,-0.1974578740787993,-0.11223322821461318,91.27436553944081,40.958887026830844,29.135797501848117,1756989273.9393663
"(321, 242)",40.9588854,29.1357978,10.001,-0.07918327017213712,-0.11491653206307616,91.28377070992791,40.95888640416398,29.135797489320307,1756989274.0466807
"(321, 242)",40.9588854,29.1357978,10.001,-0.07918327017213712,-0.11491653206307616,91.28377070992791,40.95888640416398,29.135797489320307,1756989274.2702725
"(321, 242)",40.9588854,29.1357978,10.0,0.16858204874338037,-0.11328319637673075,91.27519882251954,40.95888601569228,29.135797474336183,1756989274.3878424
"(321, 242)",40.9588854,29.1357978,10.0,0.16858204874338037,-0.11328319637673075,91.27519882251954,40.95888601569228,29.135797474336183,1756989274.4999642
"(321, 242)",40.9588854,29.1357978,10.0,-0.11613010460015669,-0.11402750023327701,91.28294425703834,40.958886462011435,29.135797489200275,1756989274.6146688
"(321, 243)",40.9588854,29.1357978,10.0,-0.11613010460015669,-0.11402750023327701,91.28294425703834,40.958886899122874,29.135797502157377,1756989274.727337
"(321, 242)",40.9588854,29.1357978,10.0,-0.11613010460015669,-0.11402750023327701,91.28294425703834,40.958886462011435,29.135797489200275,1756989274.8361459
"(321, 242)",40.9588854,29.1357978,10.0,-0.15757869403176916,-0.10092558990949922,91.27877784164464,40.95888652743194,29.135797463818868,1756989274.940902
"(321, 242)",40.9588854,29.1357978,10.0,-0.15757869403176916,-0.10092558990949922,91.27877784164464,40.95888652743194,29.135797463818868,1756989275.1476436
"(321, 241)",40.9588854,29.1357978,10.0,0.13382905907057702,-0.10435982770048015,91.28172848336608,40.9588856334342,29.135797444562918,1756989275.2497115
"(321, 242)",40.9588854,29.1357978,10.0,0.13382905907057702,-0.10435982770048015,91.28172848336608,40.958886070509976,29.135797457518972,1756989275.3549478
"(321, 242)",40.9588854,29.1357978,10.0,-0.048349191582067845,-0.11282614733150846,91.283613615577,40.95888635579981,29.13579748357804,1756989275.4735014
"(321, 243)",40.9588854,29.1357978,10.0,-0.048349191582067845,-0.11282614733150846,91.283613615577,40.95888679289703,29.13579749654482,1756989275.5799189
"(321, 243)",40.9588854,29.1357978,9.999,-0.22198393612997794,-0.11472349917774395,91.28419418165646,40.95888706490883,29.13579750858249,1756989275.6946952
"(321, 243)",40.9588854,29.1357978,9.999,-0.22198393612997794,-0.11472349917774395,91.28419418165646,40.95888706490883,29.13579750858249,1756989275.8059795
