pixel,gps_true,drone_gps,drone_attitude
"(539, 184)","(-35.363261, 149.1652383)","(-35.363240271411996, 149.165259526022)","(-0.001083668670617044, 0.0018378101522102952, 0.9094032049179077)"
"(539, 184)","(-35.363261, 149.1652383)","(-35.36324024938796, 149.1652595022081)","(-0.0017383883241564035, 0.0018861991120502353, 0.90941321849823)"
"(539, 188)","(-35.363261, 149.1652383)","(-35.36324057322227, 149.1652598160752)","(0.0032007619738578796, 0.0017458798829466105, 0.9094242453575134)"
"(539, 185)","(-35.363261, 149.1652383)","(-35.36324029388716, 149.16525957740822)","(-0.0011830731527879834, 0.0014498658711090684, 0.9094513654708862)"
"(539, 185)","(-35.363261, 149.1652383)","(-35.36324027810906, 149.1652595489949)","(-0.0017459827940911055, 0.0016283600125461817, 0.9093444347381592)"
"(539, 188)","(-35.363261, 149.1652383)","(-35.36324059115691, 149.16525984783044)","(0.003884183941408992, 0.0015424058074131608, 0.9093847274780273)"
"(539, 184)","(-35.363261, 149.1652383)","(-35.363240261709244, 149.16525954812494)","(-0.001023206626996398, 0.0014302842319011688, 0.9094777703285217)"
"(538, 184)","(-35.363261, 149.1652383)","(-35.36324029204791, 149.16525947644627)","(-0.0012448388151824474, 0.0015109286177903414, 0.9093694686889648)"
"(538, 188)","(-35.363261, 149.1652383)","(-35.36324063870125, 149.16525980626864)","(0.004257245920598507, 0.0014424145920202136, 0.9094171524047852)"
"(538, 184)","(-35.363261, 149.1652383)","(-35.36324028558757, 149.16525947467676)","(-0.00140583876054734, 0.001461375504732132, 0.9094645977020264)"
"(538, 185)","(-35.363261, 149.1652383)","(-35.363240324311356, 149.16525951348427)","(-0.0013396822614595294, 0.0014332710998132825, 0.9094223976135254)"
"(538, 189)","(-35.363261, 149.1652383)","(-35.36324066148282, 149.16525982837646)","(0.0038572584744542837, 0.0014427326386794448, 0.9093778133392334)"
"(537, 184)","(-35.363261, 149.1652383)","(-35.36324035983906, 149.16525944167685)","(-0.00045234861318022013, 0.0015104071935638785, 0.9093974828720093)"
"(537, 184)","(-35.363261, 149.1652383)","(-35.36324029274025, 149.16525940394467)","(-0.002030505333095789, 0.0011904200073331594, 0.9093623161315918)"
"(536, 189)","(-35.363261, 149.1652383)","(-35.3632407225363, 149.16525971767123)","(0.003645694814622402, 0.0010843005729839206, 0.9095609188079834)"
"(536, 185)","(-35.363261, 149.1652383)","(-35.36324040844037, 149.165259429007)","(-0.0007943067466840148, 0.0009979993337765336, 0.9094130992889404)"
"(536, 186)","(-35.363261, 149.1652383)","(-35.363240446300004, 149.1652594618911)","(-0.0008212230168282986, 0.0010404411004856229, 0.9094059467315674)"
"(536, 190)","(-35.363261, 149.1652383)","(-35.36324076998579, 149.16525975841088)","(0.00393935851752758, 0.0011309480760246515, 0.90934157371521)"
"(536, 184)","(-35.363261, 149.1652383)","(-35.36324032134796, 149.16525934269953)","(-0.0022501612547785044, 0.0010697738034650683, 0.909501314163208)"
"(535, 186)","(-35.363261, 149.1652383)","(-35.363240467533736, 149.16525939920808)","(-0.001137011218816042, 0.0007812639232724905, 0.9093522429466248)"
"(535, 191)","(-35.363261, 149.1652383)","(-35.36324080438684, 149.16525971128635)","(0.00292324204929173, 0.0008502081036567688, 0.9094454050064087)"
"(535, 185)","(-35.363261, 149.1652383)","(-35.36324036308246, 149.16525930050406)","(-0.0030273632146418095, 0.0008039974491111934, 0.9094181060791016)"
"(535, 190)","(-35.363261, 149.1652383)","(-35.36324062774194, 149.16525955049158)","(-0.0008991323411464691, 0.0008015050552785397, 0.9094257354736328)"
"(535, 191)","(-35.363261, 149.1652383)","(-35.36324080778451, 149.16525969863318)","(0.0028362474404275417, 0.0010604753624647856, 0.9094540476799011)"
"(535, 185)","(-35.363261, 149.1652383)","(-35.36324038194735, 149.1652592840853)","(-0.002902094041928649, 0.001198857557028532, 0.9094284176826477)"
"(535, 188)","(-35.363261, 149.1652383)","(-35.363240595992025, 149.16525947957456)","(-0.00012627238174900413, 0.0012641492066904902, 0.9093533754348755)"
"(535, 190)","(-35.363261, 149.1652383)","(-35.363240803423686, 149.16525966044264)","(0.0033857424277812243, 0.0014420620864257216, 0.9094244837760925)"
"(536, 185)","(-35.363261, 149.1652383)","(-35.363240361519566, 149.16525934658262)","(-0.0025656165089458227, 0.0014680882450193167, 0.909453809261322)"
"(536, 188)","(-35.363261, 149.1652383)","(-35.36324056494458, 149.16525953588695)","(-6.645175744779408e-05, 0.0014896371867507696, 0.909451425075531)"
"(536, 190)","(-35.363261, 149.1652383)","(-35.363240781665965, 149.1652597312639)","(0.0037793649826198816, 0.001643694587983191, 0.9095229506492615)"
