pixel,gps_true,drone_gps,drone_attitude
"(325, 223)","(-35.3632612, 149.1652381, 9.57)","(-35.36326000166041, 149.1652335471234, 0)","(-0.0006640556384809315, -0.000272627774393186, 0.2808522880077362)"
"(325, 228)","(-35.3632612, 149.1652381, 9.57)","(-35.36326015153134, 149.16523422290427, 0)","(0.00039510190254077315, -0.0003701461828313768, 0.28086185455322266)"
"(325, 228)","(-35.3632612, 149.1652381, 9.57)","(-35.363259990960756, 149.16523364332676, 0)","(-0.005158605054020882, -0.0006317839142866433, 0.2806967794895172)"
"(324, 224)","(-35.3632612, 149.1652381, 9.57)","(-35.36326009260425, 149.16523373410965, 0)","(-0.0006829779013060033, -0.0009360963595099747, 0.28064030408859253)"
"(324, 228)","(-35.3632612, 149.1652381, 9.57)","(-35.3632602072297, 149.1652342635698, 0)","(5.038517701905221e-05, -0.0010409074602648616, 0.2806823253631592)"
"(323, 229)","(-35.3632612, 149.1652381, 9.57)","(-35.36326022081614, 149.16523376114841, 0)","(-0.005354285705834627, -0.0010445124935358763, 0.28069478273391724)"
"(323, 225)","(-35.3632612, 149.1652381, 9.57)","(-35.36326019718007, 149.1652337913951, 0)","(-0.0009201013017445803, -0.0013767265481874347, 0.28053146600723267)"
"(322, 229)","(-35.3632612, 149.1652381, 9.57)","(-35.36326040402194, 149.16523422251709, 0)","(-0.0007603212725371122, -0.0016617049695923924, 0.2804759740829468)"
"(322, 231)","(-35.3632612, 149.1652381, 9.57)","(-35.3632603021948, 149.16523389489024, 0)","(-0.006055183243006468, -0.0019299265695735812, 0.2803339958190918)"
"(321, 226)","(-35.3632612, 149.1652381, 9.57)","(-35.36326042720537, 149.16523385993713, 0)","(-0.0006724069244228303, -0.0019167797872796655, 0.28041014075279236)"
"(322, 229)","(-35.3632612, 149.1652381, 9.57)","(-35.363260392842875, 149.16523419657332, 0)","(-0.0010209744796156883, -0.0017170481150969863, 0.28040409088134766)"
"(322, 229)","(-35.3632612, 149.1652381, 9.57)","(-35.363260286270595, 149.16523372507655, 0)","(-0.005465722177177668, -0.001672731013968587, 0.2803786098957062)"
"(322, 225)","(-35.3632612, 149.1652381, 9.57)","(-35.36326034380515, 149.1652338622108, 0)","(0.00015135647845454514, -0.0014032642357051373, 0.2802809774875641)"
"(322, 230)","(-35.3632612, 149.1652381, 9.57)","(-35.363260474377604, 149.16523431094802, 0)","(-0.0008299954934045672, -0.0011326157255098224, 0.28028374910354614)"
"(322, 229)","(-35.3632612, 149.1652381, 9.57)","(-35.36326035113522, 149.16523378613158, 0)","(-0.004730374552309513, -0.0011346138780936599, 0.2801789939403534)"
"(322, 225)","(-35.3632612, 149.1652381, 9.57)","(-35.36326038627175, 149.16523391059187, 0)","(0.0007067351252771914, -0.001072195009328425, 0.2801220118999481)"
"(322, 229)","(-35.3632612, 149.1652381, 9.57)","(-35.3632604504753, 149.16523416553608, 0)","(-0.0011125861201435328, -0.0010229259496554732, 0.2802923023700714)"
"(322, 228)","(-35.3632612, 149.1652381, 9.57)","(-35.36326033228112, 149.16523367183564, 0)","(-0.004725505597889423, -0.0010497634066268802, 0.28015249967575073)"
"(323, 225)","(-35.3632612, 149.1652381, 9.57)","(-35.363260285672006, 149.16523402854693, 0)","(0.0014262042241171002, -0.0010345859918743372, 0.2799404561519623)"
"(322, 230)","(-35.3632612, 149.1652381, 9.57)","(-35.3632604985093, 149.16523435157666, 0)","(-0.0004014398728031665, -0.0009784410940483212, 0.2801302373409271)"
"(322, 228)","(-35.3632612, 149.1652381, 9.57)","(-35.36326032024705, 149.1652336650513, 0)","(-0.0048229992389678955, -0.0011643439065665007, 0.28001710772514343)"
"(322, 225)","(-35.3632612, 149.1652381, 9.57)","(-35.3632603935684, 149.16523393283623, 0)","(0.0009222814696840942, -0.0010518128983676434, 0.2800239324569702)"
"(322, 229)","(-35.3632612, 149.1652381, 9.57)","(-35.363260461195104, 149.1652342306973, 0)","(-0.000510853948071599, -0.0010755810653790832, 0.28002679347991943)"
"(322, 227)","(-35.3632612, 149.1652381, 9.57)","(-35.36326030654156, 149.16523354683954, 0)","(-0.0048364209942519665, -0.001015471643768251, 0.27995002269744873)"
"(323, 225)","(-35.3632612, 149.1652381, 9.57)","(-35.36326027910817, 149.16523397714698, 0)","(0.0009578414028510451, -0.0009776460938155651, 0.2798169255256653)"
"(323, 229)","(-35.3632612, 149.1652381, 9.57)","(-35.36326034690996, 149.16523430042818, 0)","(-0.0002533465449232608, -0.0010614418424665928, 0.2799282670021057)"
"(322, 227)","(-35.3632612, 149.1652381, 9.57)","(-35.36326031176836, 149.1652336124984, 0)","(-0.00424624839797616, -0.001128245028667152, 0.2797360420227051)"
"(323, 225)","(-35.3632612, 149.1652381, 9.57)","(-35.36326027490894, 149.1652340853998, 0)","(0.0018902159063145518, -0.0012944028712809086, 0.2798130214214325)"
"(322, 228)","(-35.3632612, 149.1652381, 9.57)","(-35.36326041015579, 149.16523408063816, 0)","(-0.0009171204292215407, -0.0012471998343244195, 0.27988508343696594)"
"(323, 225)","(-35.3632612, 149.1652381, 9.57)","(-35.363260160815564, 149.16523353202712, 0)","(-0.0032922544050961733, -0.0011279238387942314, 0.2797738313674927)"
"(323, 223)","(-35.3632612, 149.1652381, 9.57)","(-35.36326026001394, 149.16523392331396, 0)","(0.00255027343519032, -0.0010481934295967221, 0.27974963188171387)"
"(323, 228)","(-35.3632612, 149.1652381, 9.57)","(-35.36326028132784, 149.16523411236406, 0)","(-0.001036686240695417, -0.0012918225256726146, 0.27990955114364624)"
"(323, 226)","(-35.3632612, 149.1652381, 9.57)","(-35.36326017446881, 149.1652336694795, 0)","(-0.003110070014372468, -0.0013285401510074735, 0.2796677350997925)"
